Day;Animals;Plants;Parasites;FreeFields;AvgEnergy;AvgLifeSpan;AvgChildren
0;5;100;5;0;10.00;0.00;0.00
1;5;100;5;0;14.60;0.00;0.00
2;5;100;5;0;17.80;0.00;0.00
3;5;100;5;0;21.00;0.00;0.00
4;5;100;5;0;26.80;0.00;0.00
5;5;100;5;0;32.60;0.00;0.00
6;5;100;5;0;37.00;0.00;0.00
7;5;100;5;0;41.40;0.00;0.00
8;5;100;5;0;47.20;0.00;0.00
9;5;100;5;0;53.00;0.00;0.00
10;5;100;1;0;58.80;0.00;0.00
11;5;100;1;0;64.60;0.00;0.00
12;6;100;1;0;57.50;0.00;0.33
13;6;100;1;0;62.17;0.00;0.33
14;5;100;1;0;78.80;2.00;0.00
15;5;100;1;0;83.20;2.00;0.00
16;5;100;1;0;89.00;2.00;0.00
17;5;100;1;0;94.80;2.00;0.00
18;5;100;1;0;100.60;2.00;0.00
19;5;100;1;0;106.40;2.00;0.00
20;5;100;1;0;112.20;2.00;0.00
21;5;100;1;0;118.00;2.00;0.00
22;5;100;1;0;123.80;2.00;0.00
23;5;100;1;0;129.60;2.00;0.00
24;5;100;1;0;135.40;2.00;0.00
25;5;100;1;0;141.20;2.00;0.00
26;5;100;1;0;147.00;2.00;0.00
27;5;100;1;0;152.80;2.00;0.00
28;5;100;1;0;158.60;2.00;0.00
29;5;100;1;0;164.40;2.00;0.00
30;5;100;1;0;170.20;2.00;0.00
31;5;100;1;0;176.00;2.00;0.00
32;5;100;1;0;180.40;2.00;0.00
33;5;100;1;0;184.80;2.00;0.00
34;5;100;1;0;189.20;2.00;0.00
35;5;100;1;0;193.60;2.00;0.00
36;5;100;1;0;196.60;2.00;0.00
37;5;100;1;0;198.20;2.00;0.00
38;5;100;1;0;204.00;2.00;0.00
39;5;100;1;0;209.80;2.00;0.00
40;5;100;1;0;214.20;2.00;0.00
41;5;100;1;0;218.60;2.00;0.00
42;6;100;1;0;184.67;2.00;0.33
43;6;100;1;0;188.17;2.00;0.33
44;5;100;1;0;231.40;2.00;0.00
45;5;100;1;0;237.20;2.00;0.00
46;5;100;1;0;243.00;2.00;0.00
47;5;100;1;0;247.40;2.00;0.00
48;5;100;1;0;253.20;2.00;0.00
49;5;100;1;0;259.00;2.00;0.00
50;5;100;1;0;263.40;2.00;0.00
51;5;100;1;0;267.80;2.00;0.00
52;5;100;1;0;273.60;2.00;0.00
53;5;100;1;0;279.40;2.00;0.00
54;5;100;1;0;285.20;2.00;0.00
55;5;100;1;0;291.00;2.00;0.00
56;5;100;1;0;296.80;2.00;0.00
57;5;100;1;0;301.20;2.00;0.00
58;6;100;1;0;254.67;2.00;0.33
59;7;100;1;0;222.29;2.00;0.57
60;8;100;1;0;197.88;2.00;0.75
61;8;100;1;0;201.13;2.00;0.75
62;7;100;1;0;234.57;2.00;0.57
63;7;100;1;0;239.43;2.00;0.57
64;7;100;1;0;244.29;2.00;0.57
65;7;100;1;0;249.14;2.00;0.57
66;7;100;1;0;254.00;2.00;0.57
67;8;100;1;0;225.63;2.00;0.75
68;8;100;1;0;230.63;2.00;0.75
69;7;100;1;0;269.29;2.00;0.57
70;7;100;1;0;274.14;2.00;0.57
71;7;100;1;0;279.00;2.00;0.57
72;8;100;1;0;246.63;2.00;0.75
73;8;100;1;0;249.88;2.00;0.75
74;7;100;1;0;291.29;2.00;0.57
75;7;100;1;0;297.14;2.00;0.57
76;7;100;1;0;303.00;2.00;0.57
77;7;100;1;0;307.86;2.00;0.57
78;8;100;1;0;273.63;2.00;0.75
79;8;100;1;0;277.75;2.00;0.75
80;7;100;1;0;323.14;2.00;0.57
